score,std,timesteps
876.0060351292292,703.1586881608275,8192
313.16650289297104,703.1586881608275,16384
348.1388351202011,703.1586881608275,24576
818.7374236345291,703.1586881608275,32768
263.5940653204918,703.1586881608275,40960
778.4456672310829,703.1586881608275,49152
263.4808843135834,703.1586881608275,57344
263.5940597295761,703.1586881608275,65536
390.2414449095726,703.1586881608275,73728
695.4854103803634,703.1586881608275,81920
390.2414446592331,703.1586881608275,90112
739.0593478679657,703.1586881608275,98304
865.1408401846886,703.1586881608275,106496
867.6307750701905,703.1586881608275,114688
389.9019093751907,703.1586881608275,122880
390.2414445400238,703.1586881608275,131072
390.1282629966736,703.1586881608275,139264
390.01508601903913,703.1586881608275,147456
429.51458822488786,703.1586881608275,155648
737.9275566935539,703.1586881608275,163840
390.24144543409346,703.1586881608275,172032
863.2167909741402,703.1586881608275,180224
543.1463671207428,703.1586881608275,188416
746.5291651129722,703.1586881608275,196608
866.1594473361969,703.1586881608275,204800
905.6589345693588,703.1586881608275,212992
1215.0905230045319,703.1586881608275,221184
1227.8797577738762,703.1586881608275,229376
269.8189028859139,703.1586881608275,237568
263.48088237047193,703.1586881608275,245760
873.1765431284905,703.1586881608275,253952
2219.1020875930785,703.1586881608275,262144
1163.1413378715515,703.1586881608275,270336
1865.7570238113403,703.1586881608275,278528
1902.653401684761,703.1586881608275,286720
1772.4974605321884,703.1586881608275,294912
1443.9386066436768,703.1586881608275,303104
2750.025111782551,703.1586881608275,311296
2094.039202606678,703.1586881608275,319488
1748.0507753729821,703.1586881608275,327680
2311.4561982512473,703.1586881608275,335872
2784.9974426984786,703.1586881608275,344064
2313.9461345791815,703.1586881608275,352256
2290.0653562545776,703.1586881608275,360448
2680.080440926552,703.1586881608275,368640
1654.9044046878814,703.1586881608275,376832
3293.1714796066285,703.1586881608275,385024
1276.8862951636315,703.1586881608275,393216
866.1594418883324,703.1586881608275,401408
1786.9843840241433,703.1586881608275,409600
2959.066858959198,703.1586881608275,417792
2557.620684325695,703.1586881608275,425984
2095.8500738859175,703.1586881608275,434176
2769.039195537567,703.1586881608275,442368
2238.455702102184,703.1586881608275,450560
2809.896837747097,703.1586881608275,458752
2752.628230381012,703.1586881608275,466944
